Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
bookanAppointment,Chrome 114.0.0.0,,,2023-07-07 14:19:02,2023-07-07 14:19:41,39.050s,PASSED
,,,,,,,
Test Cases/LogIn,Chrome 114.0.0.0,,,2023-07-07 14:19:03,2023-07-07 14:19:16,13.578s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-07 14:19:04,2023-07-07 14:19:09,5.080s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 114.0.0.0,,,2023-07-07 14:19:09,2023-07-07 14:19:11,2.184s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 114.0.0.0,,,2023-07-07 14:19:11,2023-07-07 14:19:12,0.887s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 114.0.0.0,,,2023-07-07 14:19:12,2023-07-07 14:19:13,1.378s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 114.0.0.0,,,2023-07-07 14:19:13,2023-07-07 14:19:15,1.289s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 114.0.0.0,,,2023-07-07 14:19:15,2023-07-07 14:19:15,0.836s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 114.0.0.0,,,2023-07-07 14:19:15,2023-07-07 14:19:16,1.021s,PASSED
,,,,,,,
Test Cases/bookanAppointment,Chrome 114.0.0.0,,,2023-07-07 14:19:16,2023-07-07 14:19:41,24.707s,PASSED
"callTestCase(findTestCase(""LogIn""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-07 14:19:17,2023-07-07 14:19:34,16.275s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 114.0.0.0,,,2023-07-07 14:19:34,2023-07-07 14:19:35,1.548s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 114.0.0.0,,,2023-07-07 14:19:35,2023-07-07 14:19:36,0.629s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 114.0.0.0,,,2023-07-07 14:19:36,2023-07-07 14:19:36,0.572s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 114.0.0.0,,,2023-07-07 14:19:36,2023-07-07 14:19:37,0.606s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_19""))",Chrome 114.0.0.0,,,2023-07-07 14:19:37,2023-07-07 14:19:38,0.842s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Comment"")",Chrome 114.0.0.0,,,2023-07-07 14:19:38,2023-07-07 14:19:39,0.973s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 114.0.0.0,,,2023-07-07 14:19:39,2023-07-07 14:19:40,0.773s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/appointment.php#summary"")",Chrome 114.0.0.0,,,2023-07-07 14:19:40,2023-07-07 14:19:40,0.202s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 114.0.0.0,,,2023-07-07 14:19:40,2023-07-07 14:19:41,1.311s,PASSED
